,latitude,longitude,county
505,39.03,-121.97,Colusa County
506,39.26,-119.88,Washoe County
507,38.48,-121.97,Yolo County
508,42.09,-121.03,Klamath County
509,38.33,-120.62,Calaveras County
510,41.56,-122.45,Siskiyou County
511,38.32,-121.23,Sacramento County
512,39.08,-123.29,Mendocino County
513,39.18,-122.9,Lake County
514,42.12,-122.68,Jackson County
515,40.73,-122.93,Trinity County
516,39.21,-123.05,Lake County
517,38.81,-123.17,Sonoma County
518,39.27,-121.5,Yuba County
519,39.28,-121.5,Yuba County
520,39.83,-122.2,Tehama County
521,40.6,-122.51,Shasta County
522,41.96,-120.7,Modoc County
523,41.96,-120.69,Modoc County
524,40.45,-121.75,Shasta County
525,41.97,-120.69,Modoc County
526,37.4,-120.98,Stanislaus County
527,38.75,-119.0,Yolo County
528,39.18,-123.23,Mendocino County
529,38.81,-121.45,Sutter County
530,37.84,-120.27,Tuolumne County
531,37.31,-121.56,Santa Clara County
532,39.54,-121.11,Yuba County
533,38.74,-122.44,Napa County
534,40.58,-123.15,Trinity County
535,40.69,-121.31,Shasta County
536,41.97,-120.68,Modoc County
537,38.09,-121.69,Sacramento County
538,41.96,-120.67,Modoc County
539,41.95,-120.63,Modoc County
540,41.97,-120.73,Modoc County
541,38.72,-121.94,Yolo County
542,38.15,-120.53,Klamath County
543,38.12,-120.57,Calaveras County
544,37.93,-120.42,Tuolumne County
545,39.22,-119.93,Washoe County
546,40.69,-121.3,Shasta County
547,40.68,-121.3,Shasta County
548,40.68,-121.31,Shasta County
549,38.05,-120.26,Tuolumne County
550,38.85,-121.78,Sutter County
551,39.17,-121.73,Sutter County
552,39.06,-121.72,Sutter County
553,41.96,-120.66,Modoc County
554,41.97,-120.65,Modoc County
555,41.96,-120.65,Modoc County
556,40.6,-122.05,Shasta County
557,39.59,-121.84,Glenn County
558,39.59,-121.85,Butte County
559,38.79,-122.16,Lake County
560,39.09,-121.13,Nevada County
561,37.42,-120.6,Merced County
562,38.98,-123.06,Mendocino County
563,38.82,-120.04,El Dorado County
564,41.97,-120.66,Modoc County
565,41.96,-120.68,Modoc County
566,38.51,-121.94,Solano County
567,42.23,-122.78,Jackson County
568,39.15,-121.7,Sutter County
569,41.97,-120.7,Modoc County
570,41.97,-120.71,Modoc County
571,40.05,-122.16,Tehama County
572,37.49,-120.72,Klamath County
573,39.09,-121.92,Sutter County
574,39.94,-122.05,Tehama County
575,38.8,-122.21,Napa County
576,38.78,-122.23,Napa County
577,38.79,-122.23,Yolo County
578,39.14,-121.58,Colusa County
579,41.98,-120.69,Modoc County
580,39.14,-121.8,Sutter County
581,38.91,-121.62,Sutter County
582,39.27,-121.41,Yuba County
583,38.8,-122.22,Napa County
584,38.79,-122.21,Yolo County
585,38.2,-121.93,Solano County
586,38.75,-122.21,Lake County
587,38.77,-122.47,Lake County
588,39.53,-121.13,Butte County
589,38.21,-120.61,Calaveras County
590,39.09,-121.47,Curry County
591,39.1,-121.47,Sutter County
592,37.48,-120.04,Mariposa County
593,37.48,-120.03,Mariposa County
594,38.22,-120.61,Calaveras County
595,38.77,-122.42,Lake County
596,38.75,-122.2,Lake County
597,38.01,-121.94,Jackson County
598,38.78,-122.24,Napa County
599,38.77,-122.43,Lake County
600,41.9,-121.36,Modoc County
601,37.87,-120.25,Tuolumne County
602,39.53,-122.13,Glenn County
603,38.87,-122.81,Lake County
604,41.99,-120.69,Modoc County
605,41.97,-120.6,Modoc County
606,41.97,-120.61,Modoc County
607,41.96,-120.61,Modoc County
608,41.98,-120.61,Modoc County
609,39.1,-121.48,Yuba County
610,41.97,-120.62,Modoc County
611,41.95,-120.64,Modoc County
612,41.96,-120.6,Modoc County
613,38.29,-120.84,Amador County
614,38.23,-120.2,Calaveras County
615,39.17,-121.52,Yuba County
616,38.85,-121.49,Sutter County
617,38.72,-121.55,Sacramento County
618,39.15,-121.72,Colusa County
619,38.9,-121.52,Sutter County
620,39.22,-123.1,Mendocino County
621,39.09,-122.99,Lake County
622,39.29,-121.47,Yuba County
623,38.79,-122.22,Napa County
624,38.78,-122.21,Yolo County
625,38.78,-122.22,Napa County
626,39.19,-122.22,Colusa County
627,39.85,-122.14,Tehama County
628,39.93,-121.05,Plumas County
629,39.4,-122.07,Curry County
630,39.32,-120.79,Nevada County
631,39.28,-120.84,Placer County
632,39.27,-120.85,Placer County
633,39.4,-121.75,Butte County
634,39.25,-122.22,Colusa County
635,40.05,-122.65,Tehama County
636,39.54,-122.07,Curry County
637,38.76,-122.46,Lake County
638,39.36,-121.95,Colusa County
639,39.57,-122.1,Glenn County
640,39.35,-121.95,Colusa County
641,37.94,-119.78,Tuolumne County
642,38.96,-123.47,Mendocino County
643,37.94,-119.79,Tuolumne County
644,39.27,-121.8,Sutter County
645,39.18,-123.08,Mendocino County
646,40.02,-122.56,Tehama County
647,41.65,-122.55,Siskiyou County
648,41.64,-122.55,Siskiyou County
649,39.52,-118.85,Churchill County
650,41.94,-120.65,Modoc County
651,41.93,-120.65,Modoc County
652,37.63,-122.45,San Mateo County
653,37.65,-122.43,Curry County
654,39.4,-122.06,Butte County
655,37.42,-120.95,Merced County
656,37.55,-120.74,Stanislaus County
657,37.54,-121.02,Stanislaus County
658,38.1,-121.99,Contra Costa County
659,39.66,-119.27,Lyon County
660,37.5,-120.04,Mariposa County
661,39.47,-121.57,Mendocino County
662,38.27,-120.92,Amador County
663,37.5,-120.35,Merced County
664,42.05,-121.89,Klamath County
665,37.45,-119.96,Mariposa County
666,42.03,-121.58,Klamath County
667,38.78,-119.33,Lyon County
668,39.48,-122.05,Glenn County
669,38.8,-122.17,Lake County
670,38.51,-121.83,Solano County
671,41.84,-121.5,Jackson County
672,39.4,-122.02,Colusa County
673,39.39,-122.03,Butte County
674,39.39,-122.02,Colusa County
675,38.63,-120.53,El Dorado County
676,41.84,-121.54,Siskiyou County
677,41.84,-121.55,Siskiyou County
678,38.93,-121.52,Sutter County
679,38.94,-121.52,Sutter County
680,39.25,-121.54,Sutter County
681,39.15,-121.47,Yuba County
682,38.11,-122.1,Solano County
683,38.12,-122.09,Solano County
684,42.03,-121.49,Klamath County
685,42.38,-122.64,Jackson County
686,42.45,-122.93,Jackson County
687,39.17,-122.9,Lake County
688,40.73,-122.94,Trinity County
689,38.43,-121.99,Solano County
690,40.07,-120.7,Lassen County
691,40.06,-120.7,Lassen County
692,42.14,-124.25,Curry County
693,41.81,-123.37,Siskiyou County
694,39.47,-122.08,Glenn County
695,39.26,-121.99,Colusa County
696,39.63,-122.06,Glenn County
697,39.62,-122.06,Klamath County
698,39.48,-121.21,Yuba County
699,39.48,-121.22,Yuba County
700,40.34,-122.44,Tehama County
701,41.86,-121.43,Klamath County
702,41.86,-121.44,Klamath County
703,41.87,-121.55,Siskiyou County
704,41.9,-121.4,Modoc County
705,42.57,-121.74,Klamath County
706,42.43,-123.12,Jackson County
707,39.36,-121.94,Colusa County
708,39.3,-122.19,Colusa County
709,42.55,-123.23,Josephine County
710,41.81,-121.42,Modoc County
711,37.54,-120.78,Merced County
712,39.48,-122.19,Glenn County
713,39.47,-122.17,Glenn County
714,39.39,-122.22,Colusa County
715,37.6,-121.07,Stanislaus County
716,39.28,-121.55,Colusa County
717,39.38,-123.14,Mendocino County
718,40.22,-124.13,Humboldt County
719,39.72,-123.21,Mendocino County
720,38.45,-121.46,Solano County
721,38.0,-121.18,San Joaquin County
722,38.07,-121.28,San Joaquin County
723,39.22,-121.97,Colusa County
724,39.35,-121.75,Butte County
725,38.19,-121.99,Solano County
